opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,opp_possession,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
South Korea,2018-06-18T12:00:00.000Z,Nizhny Novgorod Stadium,Joel Aguilar,"42,300",FIFA World Cup Round 1 2018,27,56.0,,15,4,3.0,2.0,362,81.0,20,6,5.0,6.0,0.0,9.0,6.0,,,,,447,168.0,194.0,29.0,52.0,4.0,20.0,28.0,1,1.0,0.0,7.0,44.0,10.0,3.0,20.0,0.0,73.0,46.0,52.0,27.0,56.0,9.0,82.0,1063,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2018-06-18T12:00:00.000Z,Nizhny Novgorod Stadium,Joel Aguilar,"42,300",FIFA World Cup Round 1 2018,23,44.0,,5,0,0.0,0.0,281,78.0,23,5,2.0,3.0,0.0,3.0,2.0,,,,,359,131.0,150.0,30.0,45.0,3.0,23.0,19.0,0,2.0,0.0,11.0,92.0,15.0,6.0,31.0,3.0,63.0,42.0,48.0,21.0,44.0,10.0,59.0,1063,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,2018-06-18T15:00:00.000Z,Fisht Olympic Stadium,Janny Sikazwe,"43,257",FIFA World Cup Round 1 2018,3,62.0,,15,6,3.0,1.0,485,85.0,17,9,7.0,2.0,0.0,10.0,5.0,,,,,568,228.0,257.0,21.0,42.0,2.0,11.0,23.0,1,3.0,0.0,9.0,75.0,6.0,1.0,8.0,2.0,56.0,38.0,50.0,18.0,64.0,8.0,53.0,1064,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2018-06-18T15:00:00.000Z,Fisht Olympic Stadium,Janny Sikazwe,"43,257",FIFA World Cup Round 1 2018,45,38.0,,7,2,1.0,1.0,283,80.0,18,3,4.0,1.0,0.0,3.0,4.0,,,,,354,126.0,157.0,30.0,54.0,3.0,30.0,9.0,2,5.0,0.0,10.0,59.0,12.0,1.0,25.0,3.0,48.0,38.0,50.0,10.0,36.0,5.0,42.0,1064,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2018-06-18T18:00:00.000Z,Volgograd Arena,Wilmar Roldan,"41,064",FIFA World Cup Round 1 2018,41,39.0,,6,1,1.0,0.0,273,78.0,14,2,3.0,2.0,0.0,3.0,3.0,,,,,352,193.0,80.0,22.0,35.0,3.0,75.0,13.0,2,0.0,0.0,12.0,60.0,10.0,3.0,15.0,5.0,44.0,36.0,48.0,8.0,26.0,9.0,64.0,1065,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,2018-06-18T18:00:00.000Z,Volgograd Arena,Wilmar Roldan,"41,064",FIFA World Cup Round 1 2018,4,61.0,,18,8,5.0,3.0,457,86.0,8,7,8.0,2.0,2.0,14.0,4.0,,,,,531,230.0,227.0,41.0,65.0,10.0,45.0,26.0,3,1.0,0.0,6.0,50.0,7.0,2.0,4.0,0.0,62.0,39.0,52.0,23.0,74.0,14.0,67.0,1065,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,2018-06-19T12:00:00.000Z,Mordovia-Arena,Damir Skomina,"40,842",FIFA World Cup Round 1 2018,18,61.0,,14,6,4.0,2.0,517,87.0,9,6,5.0,3.0,0.0,12.0,2.0,,,,,596,218.0,299.0,22.0,49.0,4.0,24.0,16.0,1,1.0,0.0,13.0,59.0,7.0,4.0,19.0,2.0,69.0,46.0,59.0,23.0,52.0,10.0,77.0,1066,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2018-06-19T12:00:00.000Z,Mordovia-Arena,Damir Skomina,"40,842",FIFA World Cup Round 1 2018,12,39.0,,8,3,2.0,2.0,291,77.0,15,3,1.0,4.0,0.0,5.0,3.0,,,,,377,155.0,136.0,24.0,47.0,4.0,33.0,32.0,2,2.0,1.0,15.0,83.0,10.0,2.0,19.0,4.0,53.0,32.0,41.0,21.0,48.0,6.0,35.0,1066,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2018-06-19T15:00:00.000Z,Otkrytiye Arena,Nawaf Shukralla,"44,190",FIFA World Cup Round 1 2018,17,39.0,,8,2,1.0,0.0,279,78.0,15,3,4.0,2.0,0.0,5.0,3.0,,,,,359,133.0,146.0,29.0,40.0,2.0,18.0,16.0,2,2.0,0.0,8.0,73.0,15.0,1.0,21.0,3.0,45.0,27.0,47.0,18.0,50.0,8.0,53.0,1067,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,2018-06-19T15:00:00.000Z,Otkrytiye Arena,Nawaf Shukralla,"44,190",FIFA World Cup Round 1 2018,28,61.0,,11,4,1.0,0.0,469,83.0,8,3,6.0,1.0,0.0,6.0,5.0,,,,,567,281.0,188.0,40.0,65.0,3.0,30.0,20.0,3,1.0,0.0,12.0,100.0,6.0,2.0,17.0,1.0,48.0,30.0,53.0,18.0,50.0,4.0,57.0,1067,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2018-06-19T18:00:00.000Z,New Zenit Stadium,Enrique Caceres,"64,468",FIFA World Cup Round 2 2018,35,49.0,,11,3,2.0,0.0,304,72.0,11,7,6.0,2.0,0.0,4.0,7.0,,,,,421,113.0,191.0,21.0,33.0,6.0,23.0,27.0,0,1.0,0.0,13.0,62.0,18.0,3.0,27.0,0.0,68.0,36.0,53.0,32.0,56.0,7.0,58.0,1068,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,2018-06-19T18:00:00.000Z,New Zenit Stadium,Enrique Caceres,"64,468",FIFA World Cup Round 2 2018,37,51.0,,13,1,1.0,0.0,342,78.0,10,4,8.0,4.0,0.0,7.0,6.0,,,,,437,143.0,199.0,27.0,41.0,7.0,33.0,29.0,0,1.0,0.0,12.0,80.0,22.0,2.0,30.0,1.0,57.0,32.0,47.0,25.0,44.0,7.0,47.0,1068,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2018-06-20T12:00:00.000Z,Luzhniki,Mark Geiger,"78,011",FIFA World Cup Round 2 2018,6,45.0,,10,2,2.0,1.0,284,72.0,19,5,4.0,4.0,0.0,4.0,6.0,,,,,396,161.0,123.0,31.0,42.0,3.0,25.0,13.0,1,1.0,0.0,19.0,66.0,5.0,2.0,27.0,4.0,79.0,57.0,51.0,22.0,46.0,8.0,57.0,1069,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2018-06-20T12:00:00.000Z,Luzhniki,Mark Geiger,"78,011",FIFA World Cup Round 2 2018,13,55.0,,15,4,0.0,0.0,357,76.0,23,7,9.0,2.0,0.0,11.0,4.0,,,,,467,146.0,211.0,28.0,47.0,9.0,28.0,32.0,1,1.0,0.0,11.0,55.0,10.0,4.0,9.0,1.0,80.0,54.0,49.0,26.0,54.0,18.0,60.0,1069,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,2018-06-20T15:00:00.000Z,Rostov-on-Don Stadium,Clement Turpin,"42,678",FIFA World Cup Round 2 2018,15,47.0,,13,3,3.0,2.0,426,85.0,10,3,6.0,4.0,0.0,9.0,4.0,,,,,502,218.0,208.0,21.0,50.0,6.0,46.0,23.0,1,0.0,0.0,8.0,42.0,10.0,2.0,13.0,2.0,46.0,38.0,51.0,8.0,57.0,7.0,70.0,1070,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,2018-06-20T15:00:00.000Z,Rostov-on-Don Stadium,Clement Turpin,"42,678",FIFA World Cup Round 2 2018,53,53.0,,8,2,0.0,0.0,481,87.0,13,4,4.0,2.0,0.0,3.0,5.0,,,,,553,204.0,277.0,46.0,64.0,4.0,21.0,24.0,2,0.0,0.0,8.0,47.0,9.0,3.0,14.0,2.0,42.0,36.0,49.0,6.0,43.0,10.0,53.0,1070,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2018-06-20T18:00:00.000Z,Kazan Arena,Andres Cunha,"42,718",FIFA World Cup Round 2 2018,20,22.0,,7,0,1.0,1.0,139,64.0,14,2,7.0,0.0,0.0,5.0,2.0,,,,,216,83.0,56.0,23.0,38.0,4.0,29.0,16.0,2,2.0,0.0,11.0,69.0,12.0,9.0,38.0,2.0,54.0,39.0,51.0,15.0,43.0,10.0,77.0,1071,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,2018-06-20T18:00:00.000Z,Kazan Arena,Andres Cunha,"42,718",FIFA World Cup Round 2 2018,8,78.0,,18,5,1.0,1.0,702,90.0,14,6,5.0,8.0,0.0,10.0,8.0,,,,,777,212.0,490.0,29.0,67.0,2.0,10.0,22.0,1,0.0,0.0,5.0,63.0,5.0,0.0,14.0,0.0,58.0,38.0,49.0,20.0,57.0,17.0,74.0,1071,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2018-06-21T12:00:00.000Z,Cosmos Arena,Antonio Mateu,"40,727",FIFA World Cup Round 2 2018,21,47.0,,10,5,1.0,1.0,388,86.0,7,3,5.0,0.0,0.0,7.0,3.0,,,,,453,176.0,212.0,24.0,53.0,6.0,46.0,20.0,1,2.0,0.0,12.0,60.0,11.0,4.0,26.0,3.0,56.0,33.0,51.0,23.0,47.0,8.0,53.0,1072,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2018-06-21T12:00:00.000Z,Cosmos Arena,Antonio Mateu,"40,727",FIFA World Cup Round 2 2018,24,53.0,,13,4,1.0,0.0,423,84.0,5,5,4.0,5.0,0.0,8.0,5.0,,,,,504,235.0,188.0,29.0,48.0,6.0,27.0,20.0,0,0.0,0.0,9.0,75.0,6.0,0.0,18.0,5.0,58.0,32.0,49.0,26.0,53.0,15.0,63.0,1072,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,2018-06-21T15:00:00.000Z,Ekaterinburg Arena,Mohammed Abdulla Mohammed,"32,789",FIFA World Cup Round 2 2018,2,44.0,,12,4,2.0,1.0,308,78.0,11,5,6.0,2.0,0.0,9.0,3.0,,,,,396,140.0,168.0,37.0,57.0,2.0,15.0,26.0,0,2.0,0.0,15.0,68.0,19.0,2.0,23.0,2.0,75.0,51.0,57.0,24.0,73.0,15.0,65.0,1073,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2018-06-21T15:00:00.000Z,Ekaterinburg Arena,Mohammed Abdulla Mohammed,"32,789",FIFA World Cup Round 2 2018,32,56.0,,10,2,0.0,0.0,416,81.0,15,3,6.0,2.0,1.0,3.0,7.0,,,,,513,198.0,218.0,30.0,47.0,2.0,14.0,28.0,1,2.0,0.0,14.0,74.0,13.0,2.0,14.0,3.0,47.0,38.0,43.0,9.0,27.0,10.0,83.0,1073,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2018-06-21T18:00:00.000Z,Nizhny Novgorod Stadium,Ravshan Irmatov,"43,318",FIFA World Cup Round 2 2018,1,57.0,,10,3,2.0,2.0,397,80.0,16,5,3.0,4.0,1.0,8.0,2.0,,,,,499,190.0,207.0,25.0,39.0,1.0,6.0,27.0,3,3.0,0.0,9.0,56.0,11.0,3.0,19.0,2.0,61.0,47.0,54.0,14.0,40.0,10.0,63.0,1074,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2018-06-21T18:00:00.000Z,Nizhny Novgorod Stadium,Ravshan Irmatov,"43,318",FIFA World Cup Round 2 2018,10,43.0,,14,5,3.0,1.0,278,76.0,22,2,6.0,3.0,1.0,7.0,7.0,,,,,367,162.0,116.0,22.0,40.0,3.0,33.0,23.0,3,4.0,0.0,8.0,62.0,17.0,4.0,23.0,3.0,61.0,40.0,46.0,21.0,60.0,12.0,75.0,1074,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2018-06-22T12:00:00.000Z,New Zenit Stadium,Bjorn Kuipers,"64,468",FIFA World Cup Round 2 2018,52,28.0,,3,0,0.0,0.0,198,71.0,11,1,3.0,0.0,0.0,1.0,2.0,,,,,280,110.0,88.0,27.0,40.0,1.0,13.0,13.0,3,1.0,0.0,14.0,61.0,9.0,3.0,33.0,7.0,58.0,42.0,45.0,16.0,46.0,8.0,73.0,1075,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2018-06-22T12:00:00.000Z,New Zenit Stadium,Bjorn Kuipers,"64,468",FIFA World Cup Round 2 2018,5,72.0,,22,10,4.0,2.0,645,91.0,11,9,10.0,2.0,1.0,12.0,10.0,,,,,705,265.0,380.0,26.0,81.0,7.0,24.0,19.0,3,2.0,0.0,15.0,65.0,8.0,0.0,14.0,0.0,71.0,52.0,55.0,19.0,54.0,18.0,82.0,1075,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,2018-06-22T15:00:00.000Z,Volgograd Arena,Matthew Conger,"40,904",FIFA World Cup Round 2 2018,30,61.0,,16,4,0.0,0.0,396,81.0,9,6,6.0,6.0,1.0,7.0,9.0,,,,,490,184.0,212.0,28.0,41.0,3.0,14.0,19.0,1,1.0,0.0,9.0,45.0,11.0,1.0,29.0,3.0,68.0,42.0,61.0,26.0,57.0,12.0,80.0,1076,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,2018-06-22T15:00:00.000Z,Volgograd Arena,Matthew Conger,"40,904",FIFA World Cup Round 2 2018,72,39.0,,9,3,1.0,1.0,215,71.0,10,5,5.0,1.0,0.0,6.0,3.0,,,,,303,79.0,136.0,24.0,40.0,4.0,24.0,21.0,0,0.0,0.0,6.0,55.0,11.0,6.0,25.0,2.0,47.0,27.0,39.0,20.0,43.0,9.0,47.0,1076,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,2018-06-22T18:00:00.000Z,Kaliningrad Stadium,Felix Brych,"33,167",FIFA World Cup Round 2 2018,19,63.0,,20,5,3.0,2.0,455,85.0,13,7,7.0,8.0,1.0,8.0,12.0,,,,,535,258.0,197.0,32.0,50.0,3.0,21.0,18.0,3,1.0,0.0,14.0,67.0,9.0,2.0,11.0,2.0,65.0,49.0,54.0,16.0,37.0,12.0,50.0,1077,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2018-06-22T18:00:00.000Z,Kaliningrad Stadium,Felix Brych,"33,167",FIFA World Cup Round 2 2018,33,37.0,,13,3,2.0,1.0,235,76.0,17,3,8.0,2.0,0.0,10.0,3.0,,,,,309,109.0,126.0,35.0,55.0,7.0,39.0,23.0,0,4.0,0.0,14.0,67.0,6.0,7.0,20.0,3.0,69.0,42.0,46.0,27.0,63.0,10.0,71.0,1077,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,2018-06-23T12:00:00.000Z,Otkrytiye Arena,Jair Marrufo,"44,190",FIFA World Cup Round 2 2018,3,50.0,,23,12,9.0,5.0,374,84.0,12,5,8.0,3.0,1.0,15.0,8.0,,,,,445,218.0,156.0,19.0,42.0,4.0,33.0,16.0,3,0.0,0.0,10.0,77.0,9.0,3.0,12.0,3.0,50.0,41.0,53.0,9.0,64.0,15.0,83.0,1079,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2018-06-23T12:00:00.000Z,Otkrytiye Arena,Jair Marrufo,"44,190",FIFA World Cup Round 2 2018,41,50.0,,16,5,1.0,0.0,366,81.0,13,2,8.0,3.0,0.0,5.0,11.0,,,,,451,186.0,180.0,24.0,51.0,2.0,20.0,22.0,3,1.0,0.0,8.0,50.0,11.0,4.0,11.0,6.0,42.0,37.0,47.0,5.0,36.0,10.0,67.0,1079,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2018-06-23T15:00:00.000Z,Rostov-on-Don Stadium,Milorad Mazic,"43,472",FIFA World Cup Round 2 2018,23,42.0,,17,6,0.0,0.0,279,81.0,24,7,2.0,9.0,0.0,6.0,11.0,,,,,344,122.0,157.0,25.0,58.0,2.0,18.0,21.0,0,4.0,0.0,14.0,78.0,11.0,1.0,15.0,3.0,47.0,38.0,40.0,9.0,47.0,13.0,43.0,1080,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,2018-06-23T15:00:00.000Z,Rostov-on-Don Stadium,Milorad Mazic,"43,472",FIFA World Cup Round 2 2018,14,58.0,,13,5,2.0,0.0,415,87.0,7,5,7.0,1.0,0.0,7.0,6.0,,,,,476,202.0,213.0,29.0,60.0,5.0,31.0,21.0,0,0.0,0.0,17.0,74.0,11.0,9.0,12.0,5.0,67.0,57.0,60.0,10.0,53.0,13.0,72.0,1080,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2018-06-23T18:00:00.000Z,Fisht Olympic Stadium,Szymon Marciniak,"44,287",FIFA World Cup Round 2 2018,27,24.0,,7,5,2.0,2.0,154,69.0,13,3,1.0,1.0,0.0,6.0,1.0,,,,,222,66.0,88.0,23.0,41.0,1.0,9.0,16.0,2,2.0,0.0,3.0,50.0,12.0,7.0,39.0,4.0,32.0,17.0,35.0,15.0,47.0,4.0,36.0,1081,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2018-06-23T18:00:00.000Z,Fisht Olympic Stadium,Szymon Marciniak,"44,287",FIFA World Cup Round 2 2018,16,76.0,,18,6,1.0,1.0,600,89.0,12,8,5.0,7.0,1.0,11.0,7.0,,,,,676,200.0,400.0,56.0,81.0,6.0,17.0,23.0,5,0.0,1.0,7.0,54.0,5.0,1.0,15.0,4.0,48.0,31.0,65.0,17.0,53.0,6.0,86.0,1081,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,2018-06-24T12:00:00.000Z,Nizhny Novgorod Stadium,Ghead Grisha,"43,319",FIFA World Cup Round 2 2018,4,59.0,,11,7,5.0,1.0,547,92.0,13,3,2.0,2.0,0.0,7.0,4.0,,,,,594,255.0,292.0,35.0,74.0,2.0,40.0,12.0,3,1.0,0.0,5.0,45.0,6.0,1.0,16.0,1.0,46.0,29.0,49.0,17.0,57.0,5.0,50.0,1082,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2018-06-24T12:00:00.000Z,Nizhny Novgorod Stadium,Ghead Grisha,"43,319",FIFA World Cup Round 2 2018,45,41.0,,8,2,2.0,2.0,348,89.0,13,2,5.0,1.0,0.0,4.0,4.0,,,,,393,155.0,193.0,31.0,66.0,4.0,27.0,13.0,0,3.0,0.0,4.0,40.0,6.0,1.0,12.0,1.0,43.0,30.0,51.0,13.0,43.0,9.0,82.0,1082,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,2018-06-24T15:00:00.000Z,Ekaterinburg Arena,Gianluca Rocchi,"32,572",FIFA World Cup Round 2 2018,18,56.0,,7,3,2.0,1.0,369,80.0,8,2,2.0,2.0,1.0,5.0,2.0,,,,,462,200.0,169.0,30.0,46.0,0.0,0.0,16.0,2,2.0,0.0,11.0,85.0,5.0,3.0,27.0,5.0,53.0,29.0,57.0,24.0,44.0,2.0,40.0,1083,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2018-06-24T15:00:00.000Z,Ekaterinburg Arena,Gianluca Rocchi,"32,572",FIFA World Cup Round 2 2018,17,44.0,,15,7,1.0,0.0,257,76.0,15,5,5.0,3.0,0.0,11.0,4.0,,,,,339,122.0,135.0,31.0,46.0,8.0,36.0,24.0,4,3.0,0.0,6.0,60.0,7.0,1.0,14.0,1.0,53.0,22.0,43.0,31.0,56.0,4.0,31.0,1083,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2018-06-24T18:00:00.000Z,Kazan Arena,Cesar Ramos,"42,873",FIFA World Cup Round 2 2018,12,55.0,,13,4,3.0,0.0,420,83.0,10,5,5.0,4.0,0.0,5.0,8.0,,,,,505,177.0,243.0,37.0,62.0,0.0,0.0,17.0,1,0.0,0.0,8.0,57.0,10.0,5.0,33.0,2.0,66.0,43.0,54.0,23.0,42.0,15.0,71.0,1084,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,2018-06-24T18:00:00.000Z,Kazan Arena,Cesar Ramos,"42,873",FIFA World Cup Round 2 2018,28,45.0,,9,2,2.0,2.0,321,76.0,15,7,2.0,5.0,0.0,6.0,3.0,,,,,421,187.0,134.0,32.0,48.0,3.0,23.0,18.0,1,2.0,0.0,18.0,82.0,20.0,4.0,27.0,0.0,68.0,36.0,46.0,32.0,58.0,6.0,55.0,1084,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2018-06-25T14:00:00.000Z,Volgograd Arena,Wilmar Roldan,"36,823",FIFA World Cup Round 3 2018,53,64.0,,23,8,2.0,1.0,582,90.0,7,7,10.0,5.0,1.0,11.0,12.0,,,,,647,200.0,382.0,34.0,63.0,3.0,13.0,14.0,1,0.0,0.0,8.0,57.0,7.0,1.0,15.0,0.0,51.0,40.0,63.0,11.0,55.0,12.0,71.0,1085,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,2018-06-25T14:00:00.000Z,Cosmos Arena,Malang Diedhiou,"41,970",FIFA World Cup Round 3 2018,15,58.0,,16,6,4.0,3.0,415,84.0,17,4,6.0,4.0,0.0,8.0,8.0,,,,,492,196.0,219.0,36.0,59.0,3.0,27.0,23.0,0,1.0,0.0,7.0,58.0,12.0,1.0,11.0,1.0,48.0,34.0,52.0,14.0,35.0,6.0,86.0,1086,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,2018-06-25T14:00:00.000Z,Volgograd Arena,Wilmar Roldan,"36,823",FIFA World Cup Round 3 2018,37,36.0,,7,1,1.0,1.0,289,80.0,16,2,5.0,1.0,0.0,3.0,4.0,,,,,362,173.0,116.0,26.0,50.0,0.0,0.0,16.0,3,2.0,0.0,7.0,64.0,11.0,5.0,24.0,6.0,33.0,24.0,38.0,9.0,45.0,6.0,67.0,1085,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,2018-06-25T14:00:00.000Z,Cosmos Arena,Malang Diedhiou,"41,970",FIFA World Cup Round 3 2018,35,42.0,,3,1,0.0,0.0,281,79.0,18,2,1.0,1.0,0.0,2.0,1.0,,,,,356,114.0,167.0,30.0,57.0,2.0,15.0,16.0,2,1.0,1.0,3.0,43.0,12.0,4.0,19.0,4.0,57.0,31.0,48.0,26.0,65.0,8.0,62.0,1086,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2018-06-25T18:00:00.000Z,Mordovia-Arena,Enrique Caceres,"41,685",FIFA World Cup Round 3 2018,20,27.0,,7,2,2.0,1.0,139,65.0,16,1,4.0,1.0,0.0,3.0,4.0,,,,,213,67.0,72.0,23.0,40.0,3.0,33.0,12.0,1,2.0,0.0,9.0,53.0,21.0,3.0,16.0,3.0,51.0,34.0,49.0,17.0,43.0,7.0,70.0,1087,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,2018-06-25T18:00:00.000Z,Mordovia-Arena,Enrique Caceres,"41,685",FIFA World Cup Round 3 2018,6,73.0,,14,4,1.0,1.0,528,87.0,11,5,7.0,3.0,0.0,5.0,9.0,,,,,608,222.0,306.0,41.0,66.0,3.0,16.0,24.0,1,4.0,0.0,6.0,86.0,8.0,1.0,13.0,1.0,58.0,35.0,51.0,23.0,58.0,15.0,75.0,1087,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2018-06-25T18:00:00.000Z,Kaliningrad Stadium,Ravshan Irmatov,"33,973",FIFA World Cup Round 3 2018,13,25.0,,6,3,2.0,1.0,189,77.0,17,1,2.0,1.0,1.0,4.0,2.0,,,,,245,127.0,62.0,21.0,40.0,3.0,43.0,11.0,1,6.0,0.0,14.0,78.0,10.0,2.0,22.0,2.0,44.0,31.0,42.0,13.0,57.0,8.0,62.0,1078,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2018-06-25T18:00:00.000Z,Kaliningrad Stadium,Ravshan Irmatov,"33,973",FIFA World Cup Round 3 2018,8,75.0,,18,5,4.0,2.0,678,91.0,5,7,12.0,1.0,0.0,13.0,5.0,,,,,742,219.0,459.0,41.0,79.0,6.0,29.0,22.0,1,0.0,0.0,8.0,53.0,10.0,1.0,4.0,1.0,52.0,42.0,58.0,10.0,43.0,10.0,77.0,1078,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
